Tamanho da Lista,Bubble Sort,Quick Sort,Insertion Sort,Merge Sort
10,0.000000,0.000000,0.000000,0.000000
100,0.000000,0.000000,0.000000,0.000000
1000,0.014600,0.000300,0.003500,0.000300
