Tamanho da Lista,Bubble Sort,Quick Sort,Insertion Sort,Merge Sort
10,0.000000,0.000000,0.000000,0.000000
100,0.000000,0.000000,0.000000,0.000000
1000,0.001400,0.000000,0.000400,0.000300
