Tamanho da Lista,Bubble Sort,Quick Sort,Insertion Sort,Merge Sort
10,0.000000,0.000000,0.000000,0.000000
100,0.000010,0.000000,0.000000,0.000000
1000,0.000946,0.000000,0.000140,0.000000
